id,label,parent,label.en_US,label.de_CH,label.fr_FR,label.it_IT,enabled,type,attributes,attribute_as_label,attribute_as_image,attribute_requirements.ecommerce,Duplicate
,Thing,,Thing,Ding,Chose,Cosa,1,additinalTypes,,,,,
,AdministrativeArea,CivicStructure,Administrative area,Verwaltungsgebiet,Zone administrative,Area amministrativa,1,additinalTypes,,,,,
,AdministrativeCircle,AdministrativeArea,Administrative circle,Verwaltungskreis,Cercle administratif,Circolo amministrativo,1,additinalTypes,,,,,
,AdministrativeRegion,AdministrativeArea,Administrative Region,Verwaltungsregion,Région administrative,Regione amministrativa,1,additinalTypes,,,,,
,City,CivicStructure,City,Stadt,Ville,Città,1,additinalTypes,,,,,
,Country,CivicStructure,Country,Land,Pays,Paese,1,additinalTypes,,,,,
,CustomArea,AdministrativeArea,Customs Area,Zollgebiet,Zone douanière,Area doganale,1,additinalTypes,,,,,
,District,CivicStructure,District,Bezirk,Quartier,Quartiere,1,additinalTypes,,,,,
,MountainArea,CivicStructure,Mountain area,Bergregion,Zone montagneuse,Zona montuosa,1,additinalTypes,,,,,
,NatureReserve,CivicStructure,Nature reserve,Naturschutzgebiet,Réserve naturelle,Riserva naturale,1,additinalTypes,,,,,
,PostalArea,AdministrativeArea,Postal Area,Postleitzahlgebiet,Zone postale,Area postale,1,additinalTypes,,,,,
,ProtectedArea,CivicStructure,Protected area,Schutzgebiet,Zone protégée,Area protetta,1,additinalTypes,,,,,
,State,CivicStructure,State,Bundesland,État,Stato,1,additinalTypes,,,,,
,TourismArea,AdministrativeArea,Tourist Area,Tourismusgebiet,Zone touristique,Area turistica,1,additinalTypes,,,,,
,TourismCity,AdministrativeArea,Tourist Town,Tourismusstadt,Ville touristique,Città turistica,1,additinalTypes,,,,,
,CreativeWork,,Creative Work,Kreative Arbeit,Travail créatif,Lavoro creativo,1,additinalTypes,,,,,
,Article,CreativeWork,Article,Artikel,Article,Articolo,1,additinalTypes,,,,,
,MediaObject,CreativeWork,Media Object,Medienobjekt,Mediaobjet,Oggetto multimediale,1,additinalTypes,,,,,
,AudioObject,MediaObject,Audio Object,Audio-Objekt,Objet audio,Oggetto audio,1,additinalTypes,,,,,
,ImageObject,MediaObject,Image Object,Bild-Objekt,Image objet,Oggetto Immagine,1,additinalTypes,,,,,
,VideoObject,MediaObject,Video Object,Video-Objekt,Video objet,Oggetto video,1,additinalTypes,,,,,
,Event,,Event,Veranstaltung,Événement,Evento,1,additinalTypes,,,,,
,ArtsAndCraftsEvent,Event,Arts and Crafts Exhibition,Kunsthandwerksausstellung,Exposition d'art et d'artisanat,Esposizione di artigianato,1,additinalTypes,,,,,
,BusinessEvent,Event,Business Event,Geschäftsveranstaltung,Événement d'affaires,Evento aziendale,1,additinalTypes,,,,,
,CinemaScreening,Event,Cinema Screening,Kinovorführung,Projection de cinéma,Proiezione cinematografica,1,additinalTypes,,,,,
,ComedyEvent,Event,Comedy Event,Comedy-Veranstaltung,Événement humoristique,Evento comico,1,additinalTypes,,,,,
,CommunicationEvent,Event,Communication Event,Kommunikationsveranstaltung,Événement de communication,Evento di comunicazione,1,additinalTypes,,,,,
,Congress,Event,Congress,Kongress,Congrès,Congresso,1,additinalTypes,,,,,
